k_value,cluster_id,train_samples,test_samples,train_mean_return,test_mean_return,train_rank,test_rank,overall_return,validation_passed,is_best_in_k,timestamp,global_rank
6,2,33,13,-0.007132431509665174,0.01674591483467674,5,1.0,0.009613483325011569,False,False,2025-10-27 12:30:41,1
6,0,124,67,0.0005207443235378252,0.008053593623557082,2,2.0,0.008574337947094907,False,False,2025-10-27 12:30:41,2
5,3,138,78,0.00031229402613816207,0.007128648015626531,1,2.0,0.007440942041764693,False,True,2025-10-27 12:30:41,3
5,1,84,68,-0.004442669597107989,0.009444424973700927,4,1.0,0.005001755376592938,False,False,2025-10-27 12:30:41,4
4,0,188,142,-0.0032334139370422056,0.007711132790259415,2,1.0,0.004477718853217209,False,False,2025-10-27 12:30:41,5
6,4,84,68,-0.004730317105499558,0.007161432769042209,4,3.0,0.0024311156635426507,False,False,2025-10-27 12:30:41,6
4,1,77,111,-0.0006675528479216576,0.002182323150131117,1,2.0,0.0015147703022094596,False,True,2025-10-27 12:30:41,7
5,2,75,107,-0.001690185144265115,0.0012715033511934034,2,3.0,-0.00041868179307171156,False,False,2025-10-27 12:30:41,8
6,3,73,104,-0.0029363330736516557,0.0019667941305367333,3,4.0,-0.0009695389431149224,False,False,2025-10-27 12:30:41,9
4,3,98,0,-0.005730821695380259,,4,,-0.005730821695380259,False,False,2025-10-27 12:30:41,10
6,1,22,17,0.0036209892039410817,-0.010666736861492098,1,5.0,-0.007045747657551016,False,True,2025-10-27 12:30:41,11
4,2,30,16,-0.003507812529725073,-0.00446586707458953,3,3.0,-0.007973679604314603,False,False,2025-10-27 12:30:41,12
5,4,30,16,-0.003507812529725073,-0.00446586707458953,3,4.0,-0.007973679604314603,False,False,2025-10-27 12:30:41,13
6,5,57,0,-0.01093514314106719,,6,,-0.01093514314106719,False,False,2025-10-27 12:30:41,14
5,0,66,0,-0.011576550897443631,,5,,-0.011576550897443631,False,False,2025-10-27 12:30:41,15
