k_value,cluster_id,train_mean_return,test_mean_return,train_rank,test_rank,train_samples,test_samples,train_positive_ratio,test_positive_ratio,center_PC1,center_PC2,center_PC3,center_PC4,center_PC5,train_PC1_mean,train_PC1_std,train_PC1_min,train_PC1_max,train_PC2_mean,train_PC2_std,train_PC2_min,train_PC2_max,train_PC3_mean,train_PC3_std,train_PC3_min,train_PC3_max,train_PC4_mean,train_PC4_std,train_PC4_min,train_PC4_max,train_PC5_mean,train_PC5_std,train_PC5_min,train_PC5_max
4,0,-0.008643510111596983,0.0026619829631702244,4,3,89,46,0.25842696629213485,0.5652173913043478,-0.4105680601563539,1.4146643826147844,-0.9675766084587616,0.17546903833600416,0.12649358430011048,-0.4105680601563537,0.795189056007548,-2.1836084623604375,1.2702157214769123,1.4146643826147849,0.8706853822199243,-0.15365355074942386,3.533954760465409,-0.9675766084587619,0.7741100247322802,-2.353935781136206,1.0201567401696874,0.17546903833600422,0.8780864405544929,-2.3193112656670816,2.895281784516114,0.12649358430011048,0.4910123861632245,-1.1728920901469864,1.2866015357406166
4,1,0.001934249389523708,0.014343741765440749,1,2,191,22,0.4607329842931937,0.36363636363636365,-0.7242106463589221,-0.7303875877961031,0.34932644288008613,-0.13356302923855382,-0.11587099654091158,-0.7242106463589223,0.7997010437150992,-2.354354467959857,1.08445154048807,-0.7303875877961031,0.6487819791789359,-2.6651757281844817,0.7058661248184142,0.3493264428800863,0.781741234726266,-1.7331076175397253,2.64250989693016,-0.13356302923855373,0.8603434067984068,-2.8584193882264706,2.5663634252148784,-0.11587099654091151,0.908340244893138,-2.549515750709626,1.3493211877023419
4,2,-0.0009220986357811478,0.03275275545200301,2,1,34,11,0.38235294117647056,0.5454545454545454,1.7779010660957204,1.4390409633064956,1.536028188697495,-0.07347715673818787,0.37513266028149994,1.7779010660957204,0.9589373709222171,0.0761673249302085,4.316161252092685,1.4390409633064956,1.496733661377821,-1.119860073548602,4.585857413735405,1.536028188697495,1.121231436962442,-0.31914479399463475,3.8514275496730246,-0.0734771567381879,1.4003122916986033,-2.2030454324187283,3.9348440356829726,0.37513266028149994,0.5735367942527756,-0.899954159595092,1.4773191086955064
4,3,-0.005205515010509545,-0.0079697096823616,3,4,20,8,0.35,0.125,5.720807728060759,-1.766424676804049,-1.641599542649075,0.6196008750878891,-0.0940539556483368,5.720807728060758,2.312873207270705,3.3928227006342704,10.96181425084857,-1.7664246768040492,1.780980703022696,-3.662193577613155,1.8574098452877097,-1.6415995426490748,1.962948706417157,-3.549232177535212,3.0738630776828924,0.6196008750878887,1.4002699103506067,-2.4960559693640145,2.4026337263876165,-0.09405395564833685,0.7105876524022909,-1.5448785264712694,1.1895598062853276
5,0,0.01124431780334876,0.033150726096670746,1,1,84,6,0.5952380952380952,0.3333333333333333,0.5950434344166979,-0.7504527763680295,0.7986844685712766,-0.6379900085695557,0.5538862231133436,0.595043434416698,0.7538273388040766,-0.5573331244682186,3.127615836063184,-0.7504527763680293,1.0574668064814818,-2.6651757281844817,2.2460012839788166,0.7986844685712766,1.2185956799523774,-1.7331076175397253,3.8514275496730246,-0.6379900085695558,1.1710992474595612,-2.8584193882264706,3.9348440356829726,0.5538862231133438,0.4652637166336943,-0.7050145121341933,1.4773191086955064
5,1,-0.00816858259675932,-0.0012647685240211677,4,4,87,47,0.2988505747126437,0.48936170212765956,-0.060329242170973664,1.8180086072452188,-0.7334581904808483,0.22620812982511035,0.07289004307676339,-0.06032924217097357,1.1393190205748454,-2.1836084623604375,3.3743082568954863,1.8180086072452186,0.9499079938389529,-0.09110748461726473,4.585857413735405,-0.7334581904808486,1.0450729981315046,-2.353935781136206,2.071993250291037,0.22620812982511043,0.8992309731509174,-2.3193112656670816,2.895281784516114,0.07289004307676346,0.5202011431551392,-1.1728920901469864,1.2866015357406166
5,2,-0.004602157971540107,0.019202913976302458,3,2,142,24,0.3380281690140845,0.4583333333333333,-1.1511783115171534,-0.4376770097082727,0.1916634844861547,0.14226883533865317,-0.36201612066150546,-1.1511783115171534,0.49510749952117156,-2.354354467959857,-0.009555408436647816,-0.43767700970827256,0.49243135096642365,-1.9790557163673779,0.7294448674246679,0.19166348448615472,0.696201883783919,-1.3968122007522499,2.224331992690402,0.1422688353386532,0.6177843184221066,-1.1180067282998074,2.5663634252148784,-0.36201612066150535,0.8891369649222386,-2.549515750709626,1.0370829657341407
5,4,-0.01802803999075667,0.01049491488519125,5,3,7,10,0.0,0.5,8.239621178419425,0.9081787101592073,0.8612076357473782,-0.020310098688619844,-0.7808123366589281,8.239621178419425,2.0585625136216104,4.316161252092685,10.96181425084857,0.9081787101592074,1.0523047078698267,-0.5590343000294598,2.349913299236158,0.8612076357473784,2.0420766593381514,-2.0204819670120093,3.0738630776828924,-0.02031009868861993,1.7982484731146762,-2.4960559693640145,2.113996515546601,-0.7808123366589282,0.5470326806773123,-1.5448785264712694,0.41949175770120417
6,0,-0.007638377218412525,0.0010305294899364621,5,4,84,47,0.27380952380952384,0.5106382978723404,-0.4556593052268524,1.4063706757834704,-0.9611451352611109,0.3304439852388812,0.12959858114302847,-0.45565930522685205,0.7307101824603699,-2.1836084623604375,1.164892011459302,1.4063706757834713,0.8236991948404933,-0.2356829352068594,3.0680014380147824,-0.9611451352611111,0.8139883715690577,-2.353935781136206,1.0201567401696874,0.3304439852388813,0.7777668451109349,-1.216618560457407,2.895281784516114,0.1295985811430285,0.4969756362239041,-1.1728920901469864,1.2866015357406166
6,1,0.014418533965766898,-0.024624730595523964,1,5,70,3,0.6428571428571429,0.0,0.3437082084856331,-1.0667193722765642,0.5767998697907104,-0.6959755142297077,0.5397514664933422,0.3437082084856332,0.4232045380644138,-0.5254598985670903,1.303173768879411,-1.066719372276564,0.816694512735487,-2.6651757281844817,0.7260657941428421,0.5767998697907103,1.0877311724363996,-1.7331076175397253,3.8089776833838367,-0.6959755142297079,1.0387356456124655,-2.8584193882264706,2.9908418996252895,0.539751466493342,0.47650512237412723,-0.7050145121341933,1.4773191086955064
6,2,-0.004618999211883538,0.02016303551448901,3,2,132,21,0.3560606060606061,0.47619047619047616,-1.177447949600254,-0.4938333160885865,0.2884719316737062,0.15789107443978084,-0.398147445695917,-1.1774479496002537,0.4943995583626645,-2.354354467959857,-0.009555408436647816,-0.4938333160885865,0.4549052761062148,-1.9790557163673779,0.7058661248184142,0.28847193167370627,0.6659312816376612,-1.2154129244650043,2.224331992690402,0.15789107443978087,0.6357407732916996,-1.1180067282998074,2.5663634252148784,-0.39814744569591703,0.9124267349416525,-2.549515750709626,1.0370829657341407
6,4,-0.01911076369684915,0.004812174531728613,6,3,6,8,0.0,0.5,8.893531166140548,0.6678896119797157,0.6152183637395953,-0.24317199933864558,-0.9808630190522835,8.89353116614055,1.3967002739598064,7.380813449966832,10.96181425084857,0.6678896119797155,0.942194659458317,-0.5590343000294598,1.8574098452877097,0.6152183637395953,2.1074901841089337,-2.0204819670120093,3.0738630776828924,-0.24317199933864567,1.850668846365123,-2.4960559693640145,2.113996515546601,-0.9808630190522836,0.2626346334133737,-1.5448785264712694,-0.738786769626286
6,5,-0.006755282694216635,0.03247578643814071,4,1,28,8,0.32142857142857145,0.375,1.9722422082528424,2.0374896626186536,1.2540677267369953,-0.4383088604212614,0.20598780265283653,1.9722422082528426,0.9460925402999129,0.0761673249302085,4.316161252092685,2.0374896626186536,1.3259224983797184,0.15603295757967395,4.585857413735405,1.254067726736995,1.291817520514856,-1.1637827504889218,3.8514275496730246,-0.43830886042126144,1.3569818750943201,-2.3193112656670816,3.9348440356829726,0.20598780265283653,0.5527362980426297,-0.899954159595092,1.4568980710587933
