cluster_id,count,mean_return,std_return,median_return,min_return,max_return,positive_ratio,phase,k_value,rank,timestamp
0,65,0.008090659124271524,0.033650587518244575,0.0064285117352481,-0.0504616730110498,0.1155681671610989,0.5384615384615384,train,4,1,2025-09-28 11:27:00.275174
3,170,-0.0009651586227328248,0.022107457558002155,-0.00356622421201275,-0.0455897688523226,0.0827303771311562,0.4235294117647059,train,4,2,2025-09-28 11:27:00.275174
2,20,-0.005205515010509545,0.015728741015144,-0.0103541715195032,-0.0290280348516996,0.0203726961067173,0.35,train,4,3,2025-09-28 11:27:00.275174
1,89,-0.006865099523771394,0.024495156612756478,-0.0092989808317008,-0.0584626305648514,0.089639184805014,0.29213483146067415,train,4,4,2025-09-28 11:27:00.275174
2,87,0.010825133737054682,0.030949420273629732,0.0071351557049533,-0.0405736399931417,0.1155681671610989,0.5862068965517241,train,5,1,2025-09-28 11:27:00.367727
4,14,0.0007538772836359998,0.014298882185126215,0.00291072877995555,-0.0197458056617806,0.0203726961067173,0.5,train,5,2,2025-09-28 11:27:00.367727
1,150,-0.0033829032092854362,0.020363116452806675,-0.0047802198908058,-0.0455897688523226,0.0827303771311562,0.36666666666666664,train,5,3,2025-09-28 11:27:00.367727
0,87,-0.00785665671417847,0.025297033833050847,-0.0093778505291831,-0.0584626305648514,0.089639184805014,0.3103448275862069,train,5,4,2025-09-28 11:27:00.367727
3,6,-0.01911076369684915,0.008777032920565343,-0.020723529407658398,-0.0290280348516996,-0.0058069696909364,0.0,train,5,5,2025-09-28 11:27:00.367727
5,80,0.0129106451686339,0.03127081745442335,0.00999121778305655,-0.0405736399931417,0.1155681671610989,0.625,train,6,1,2025-09-28 11:27:00.463091
1,14,0.0007538772836359998,0.014298882185126215,0.00291072877995555,-0.0197458056617806,0.0203726961067173,0.5,train,6,2,2025-09-28 11:27:00.463091
0,138,-0.0030137407855139026,0.020844085800716727,-0.00420986662069075,-0.0455897688523226,0.0827303771311562,0.391304347826087,train,6,3,2025-09-28 11:27:00.463091
4,82,-0.006804769788064454,0.02308759694263867,-0.0091591158144708,-0.0584626305648514,0.089639184805014,0.2804878048780488,train,6,4,2025-09-28 11:27:00.463091
2,24,-0.012839260119628876,0.024834266396197926,-0.0177720739969362,-0.0517116341261657,0.0471335140407249,0.25,train,6,5,2025-09-28 11:27:00.463091
3,6,-0.01911076369684915,0.008777032920565343,-0.020723529407658398,-0.0290280348516996,-0.0058069696909364,0.0,train,6,6,2025-09-28 11:27:00.463091
